[02, 05, 06, 07, 08, 09, 11, 12, 13, 15, 16, 17, 18, 21, 23]
[01, 02, 05, 07, 10, 11, 13, 14, 15, 16, 17, 18, 19, 22, 25]
[01, 03, 04, 07, 08, 09, 12, 13, 16, 17, 19, 20, 21, 24, 25]
[05, 06, 07, 08, 09, 11, 13, 14, 17, 18, 19, 20, 21, 22, 25]
[01, 02, 03, 06, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 23]
[01, 02, 07, 08, 09, 10, 11, 12, 13, 16, 17, 19, 20, 23, 25]
[01, 05, 06, 09, 10, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25]
[01, 02, 03, 05, 06, 07, 08, 10, 12, 15, 16, 17, 21, 23, 25]
[03, 05, 07, 08, 09, 10, 11, 12, 15, 16, 18, 21, 22, 23, 25]
[01, 03, 07, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 24, 25]
[01, 03, 04, 05, 07, 10, 11, 14, 18, 19, 20, 21, 22, 23, 25]
[01, 03, 05, 08, 09, 10, 11, 12, 13, 14, 17, 18, 22, 23, 25]
[01, 02, 03, 06, 07, 10, 11, 13, 14, 15, 16, 17, 18, 21, 25]
[01, 04, 05, 07, 10, 11, 12, 13, 16, 17, 20, 21, 22, 23, 25]
[01, 03, 04, 06, 07, 08, 09, 11, 12, 15, 16, 17, 22, 23, 25]
[02, 03, 05, 07, 08, 09, 10, 12, 15, 17, 19, 20, 21, 23, 24]
[03, 04, 05, 06, 07, 10, 13, 14, 15, 17, 18, 19, 21, 22, 23]
[01, 02, 03, 04, 05, 06, 08, 09, 11, 16, 17, 21, 22, 23, 25]
[04, 05, 07, 08, 09, 11, 12, 13, 14, 15, 16, 19, 21, 22, 23]
[01, 02, 07, 08, 09, 10, 11, 12, 13, 14, 17, 18, 21, 23, 25]

